Second,Price(x1000),Diff(in%),Value(€),Volume
0,11116,0,169993,15290
1,11116,0,169993,15290
2,11116,0,169993,15290
3,11116,0,169993,15290
4,11116,0,169993,15290
5,11116,0,169993,15290
6,11116,0,169993,15290
7,11116,0,169993,15290
8,11116,0,169993,15290
9,11116,0,169993,15290
10,11116,0,169993,15290
11,11116,0,169993,15290
12,11116,0,169993,15290
13,11116,0,169993,15290
14,11116,0,169993,15290
15,11116,0,169993,15290
16,11116,0,169993,15290
17,11116,0,169993,15290
18,11116,0,169993,15290
19,11116,0,169993,15290
20,11116,0,169993,15290
21,11116,0,169993,15290
22,11116,0,169993,15290
23,11116,0,169993,15290
24,11116,0,169993,15290
25,11116,0,169993,15290
26,11116,0,169993,15290
27,11116,0,169993,15290
28,11116,0,169993,15290
29,11116,0,169993,15290
30,11116,0,169993,15290
31,11116,0,169993,15290
32,11116,0,169993,15290
33,11116,0,169993,15290
34,11116,0,169993,15290
35,11116,0,169993,15290
36,11116,0,169993,15290
37,11116,0,169993,15290
38,11116,0,169993,15290
39,11116,0,169993,15290
40,11116,0,169993,15290
41,11116,0,169993,15290
42,11116,0,169993,15290
43,11116,0,169993,15290
44,11116,0,169993,15290
45,11116,0,169993,15290
46,11116,0,169993,15290
47,11116,0,169993,15290
48,11116,0,169993,15290
49,11116,0,169993,15290
50,11116,0,169993,15290
51,11116,0,169993,15290
52,11116,0,169993,15290
53,11116,0,169993,15290
54,11116,0,169993,15290
55,11116,0,169993,15290
56,11116,0,169993,15290
57,11116,0,169993,15290
58,11116,0,169993,15290
59,11116,0,169993,15290
60,11116,0,169993,15290
61,11116,0,169993,15290
62,11116,0,169993,15290
63,11116,0,169993,15290
64,11116,0,169993,15290
65,11116,0,169993,15290
66,11116,0,169993,15290
67,11116,0,169993,15290
68,11116,0,169993,15290
69,11116,0,169993,15290
70,11116,0,169993,15290
71,11116,0,169993,15290
72,11116,0,169993,15290
73,11116,0,169993,15290
74,11116,0,169993,15290
75,11116,0,169993,15290
76,11116,0,169993,15290
77,11116,0,169993,15290
78,11116,0,169993,15290
79,11116,0,169993,15290
80,11116,0,169993,15290
81,11116,0,169993,15290
82,11116,0,169993,15290
83,11116,0,169993,15290
84,11116,0,169993,15290
85,11116,0,169993,15290
86,11116,0,169993,15290
87,11116,0,169993,15290
88,11116,0,169993,15290
89,11116,0,169993,15290
90,11116,0,169993,15290
91,11116,0,169993,15290
92,11116,0,169993,15290
93,11116,0,169993,15290
94,11116,0,169993,15290
95,11116,0,169993,15290
96,11116,0,169993,15290
97,11116,0,169993,15290
98,11116,0,169993,15290
99,11116,0,169993,15290
100,11116,0,169993,15290
101,11116,0,169993,15290
102,11116,0,169993,15290
103,11116,0,169993,15290
104,11116,0,169993,15290
105,11116,0,169993,15290
106,11116,0,169993,15290
107,11116,0,169993,15290
108,11116,0,169993,15290
109,11116,0,169993,15290
110,11116,0,169993,15290
111,11116,0,169993,15290
112,11116,0,169993,15290
113,11116,0,169993,15290
114,11116,0,169993,15290
115,11116,0,169993,15290
116,11116,0,169993,15290
117,11116,0,169993,15290
118,11116,0,169993,15290
119,11116,0,169993,15290
120,11116,0,169993,15290
121,11116,0,169993,15290
122,11116,0,169993,15290
123,11116,0,169993,15290
124,11116,0,169993,15290
125,11116,0,169993,15290
126,11116,0,169993,15290
127,11116,0,169993,15290
128,11116,0,169993,15290
129,11116,0,169993,15290
130,11116,0,169993,15290
131,11116,0,169993,15290
132,11116,0,169993,15290
133,11116,0,169993,15290
134,11116,0,169993,15290
135,11116,0,169993,15290
136,11116,0,169993,15290
137,11116,0,169993,15290
138,11116,0,169993,15290
139,11116,0,169993,15290
140,11117,0.009,412813,37139
141,11117,0.009,412813,37139
142,11117,0.009,412813,37139
143,11117,0.009,412813,37139
144,11117,0.009,412813,37139
145,11117,0.009,412813,37139
146,11117,0.009,412813,37139
147,11117,0.009,412813,37139
148,11117,0.009,412813,37139
149,11117,0.009,412813,37139
150,11125,0.07196,123687,11118
151,11125,0.07196,123687,11118
152,11125,0.07196,123687,11118
153,11125,0.07196,123687,11118
154,11125,0.07196,123687,11118
155,11125,0.07196,123687,11118
156,11125,0.07196,123687,11118
157,11125,0.07196,123687,11118
158,11125,0.07196,123687,11118
159,11125,0.07196,123687,11118
160,11125,0.07196,123687,11118
161,11125,0.07196,123687,11118
162,11125,0.07196,123687,11118
163,11125,0.07196,123687,11118
164,11125,0.07196,123687,11118
165,11125,0.07196,123687,11118
166,11125,0.07196,123687,11118
167,11125,0.07196,123687,11118
168,11125,0.07196,123687,11118
169,11125,0.07196,123687,11118
170,11128,0.02697,42551,3824
171,11128,0.02697,42551,3824
172,11128,0.02697,42551,3824
173,11128,0.02697,42551,3824
174,11128,0.02697,42551,3824
175,11128,0.02697,42551,3824
176,11128,0.02697,42551,3824
177,11128,0.02697,42551,3824
178,11128,0.02697,42551,3824
179,11128,0.02697,42551,3824
180,11128,0,107654,9674
181,11128,0,107654,9674
182,11128,0,107654,9674
183,11128,0,107654,9674
184,11128,0,107654,9674
185,11128,0,107654,9674
186,11128,0,107654,9674
187,11128,0,107654,9674
188,11128,0,107654,9674
189,11128,0,107654,9674
190,11128,0,21421,1925
191,11128,0,21421,1925
192,11128,0,21421,1925
193,11128,0,21421,1925
194,11128,0,21421,1925
195,11128,0,21421,1925
196,11128,0,21421,1925
197,11128,0,21421,1925
198,11128,0,21421,1925
199,11128,0,21421,1925
200,11127,-0.00899,86222,7750
201,11127,-0.00899,86222,7750
202,11127,-0.00899,86222,7750
203,11127,-0.00899,86222,7750
204,11127,-0.00899,86222,7750
205,11127,-0.00899,86222,7750
206,11127,-0.00899,86222,7750
207,11127,-0.00899,86222,7750
208,11127,-0.00899,86222,7750
209,11127,-0.00899,86222,7750
210,11119,-0.0719,12809,1152
211,11119,-0.0719,12809,1152
212,11119,-0.0719,12809,1152
213,11119,-0.0719,12809,1152
214,11119,-0.0719,12809,1152
215,11119,-0.0719,12809,1152
216,11119,-0.0719,12809,1152
217,11119,-0.0719,12809,1152
218,11119,-0.0719,12809,1152
219,11119,-0.0719,12809,1152
220,11120,0.00899,16680,1500
221,11120,0.00899,16680,1500
222,11120,0.00899,16680,1500
223,11120,0.00899,16680,1500
224,11120,0.00899,16680,1500
225,11120,0.00899,16680,1500
226,11120,0.00899,16680,1500
227,11120,0.00899,16680,1500
228,11120,0.00899,16680,1500
229,11120,0.00899,16680,1500
230,11120,0.00899,16680,1500
231,11120,0.00899,16680,1500
232,11120,0.00899,16680,1500
233,11120,0.00899,16680,1500
234,11120,0.00899,16680,1500
235,11120,0.00899,16680,1500
236,11120,0.00899,16680,1500
237,11120,0.00899,16680,1500
238,11120,0.00899,16680,1500
239,11120,0.00899,16680,1500
240,11110,-0.08993,46942,4225
241,11110,-0.08993,46942,4225
242,11110,-0.08993,46942,4225
243,11110,-0.08993,46942,4225
244,11110,-0.08993,46942,4225
245,11110,-0.08993,46942,4225
246,11110,-0.08993,46942,4225
247,11110,-0.08993,46942,4225
248,11110,-0.08993,46942,4225
249,11110,-0.08993,46942,4225
250,11113,0.027,9601,864
251,11113,0.027,9601,864
252,11113,0.027,9601,864
253,11113,0.027,9601,864
254,11113,0.027,9601,864
255,11113,0.027,9601,864
256,11113,0.027,9601,864
257,11113,0.027,9601,864
258,11113,0.027,9601,864
259,11113,0.027,9601,864
260,11113,0.027,9601,864
261,11113,0.027,9601,864
262,11113,0.027,9601,864
263,11113,0.027,9601,864
264,11113,0.027,9601,864
265,11113,0.027,9601,864
266,11113,0.027,9601,864
267,11113,0.027,9601,864
268,11113,0.027,9601,864
269,11113,0.027,9601,864
270,11112,-0.009,5200,468
271,11112,-0.009,5200,468
272,11112,-0.009,5200,468
273,11112,-0.009,5200,468
274,11112,-0.009,5200,468
275,11112,-0.009,5200,468
276,11112,-0.009,5200,468
277,11112,-0.009,5200,468
278,11112,-0.009,5200,468
279,11112,-0.009,5200,468
280,11114,0.018,70498,6343
281,11114,0.018,70498,6343
282,11114,0.018,70498,6343
283,11114,0.018,70498,6343
284,11114,0.018,70498,6343
285,11114,0.018,70498,6343
286,11114,0.018,70498,6343
287,11114,0.018,70498,6343
288,11114,0.018,70498,6343
289,11114,0.018,70498,6343
290,11111,-0.02699,47388,4265
291,11111,-0.02699,47388,4265
292,11111,-0.02699,47388,4265
293,11111,-0.02699,47388,4265
294,11111,-0.02699,47388,4265
295,11111,-0.02699,47388,4265
296,11111,-0.02699,47388,4265
297,11111,-0.02699,47388,4265
298,11111,-0.02699,47388,4265
299,11111,-0.02699,47388,4265
300,11112,0.009,47305,4257
301,11112,0.009,47305,4257
302,11112,0.009,47305,4257
303,11112,0.009,47305,4257
304,11112,0.009,47305,4257
305,11112,0.009,47305,4257
306,11112,0.009,47305,4257
307,11112,0.009,47305,4257
308,11112,0.009,47305,4257
309,11112,0.009,47305,4257
310,11118,0.054,24281,2184
311,11118,0.054,24281,2184
312,11118,0.054,24281,2184
313,11118,0.054,24281,2184
314,11118,0.054,24281,2184
315,11118,0.054,24281,2184
316,11118,0.054,24281,2184
317,11118,0.054,24281,2184
318,11118,0.054,24281,2184
319,11118,0.054,24281,2184
320,11117,-0.00899,78516,7064
321,11117,-0.00899,78516,7064
322,11117,-0.00899,78516,7064
323,11117,-0.00899,78516,7064
324,11117,-0.00899,78516,7064
325,11117,-0.00899,78516,7064
326,11117,-0.00899,78516,7064
327,11117,-0.00899,78516,7064
328,11117,-0.00899,78516,7064
329,11117,-0.00899,78516,7064
330,11113,-0.03598,74310,6688
331,11113,-0.03598,74310,6688
332,11113,-0.03598,74310,6688
333,11113,-0.03598,74310,6688
334,11113,-0.03598,74310,6688
335,11113,-0.03598,74310,6688
336,11113,-0.03598,74310,6688
337,11113,-0.03598,74310,6688
338,11113,-0.03598,74310,6688
339,11113,-0.03598,74310,6688
340,11113,0,48848,4396
341,11113,0,48848,4396
342,11113,0,48848,4396
343,11113,0,48848,4396
344,11113,0,48848,4396
345,11113,0,48848,4396
346,11113,0,48848,4396
347,11113,0,48848,4396
348,11113,0,48848,4396
349,11113,0,48848,4396
350,11118,0.04499,13920,1252
351,11118,0.04499,13920,1252
352,11118,0.04499,13920,1252
353,11118,0.04499,13920,1252
354,11118,0.04499,13920,1252
355,11118,0.04499,13920,1252
356,11118,0.04499,13920,1252
357,11118,0.04499,13920,1252
358,11118,0.04499,13920,1252
359,11118,0.04499,13920,1252
360,11122,0.03598,56757,5103
361,11122,0.03598,56757,5103
362,11122,0.03598,56757,5103
363,11122,0.03598,56757,5103
364,11122,0.03598,56757,5103
365,11122,0.03598,56757,5103
366,11122,0.03598,56757,5103
367,11122,0.03598,56757,5103
368,11122,0.03598,56757,5103
369,11122,0.03598,56757,5103
370,11122,0,29173,2623
371,11122,0,29173,2623
372,11122,0,29173,2623
373,11122,0,29173,2623
374,11122,0,29173,2623
375,11122,0,29173,2623
376,11122,0,29173,2623
377,11122,0,29173,2623
378,11122,0,29173,2623
379,11122,0,29173,2623
380,11122,0,29173,2623
381,11122,0,29173,2623
382,11122,0,29173,2623
383,11122,0,29173,2623
384,11122,0,29173,2623
385,11122,0,29173,2623
386,11122,0,29173,2623
387,11122,0,29173,2623
388,11122,0,29173,2623
389,11122,0,29173,2623
390,11120,-0.01798,67,6
391,11120,-0.01798,67,6
392,11120,-0.01798,67,6
393,11120,-0.01798,67,6
394,11120,-0.01798,67,6
395,11120,-0.01798,67,6
396,11120,-0.01798,67,6
397,11120,-0.01798,67,6
398,11120,-0.01798,67,6
399,11120,-0.01798,67,6
400,11117,-0.02698,123810,11138
401,11117,-0.02698,123810,11138
402,11117,-0.02698,123810,11138
403,11117,-0.02698,123810,11138
404,11117,-0.02698,123810,11138
405,11117,-0.02698,123810,11138
406,11117,-0.02698,123810,11138
407,11117,-0.02698,123810,11138
408,11117,-0.02698,123810,11138
409,11117,-0.02698,123810,11138
410,11119,0.01799,31213,2807
411,11119,0.01799,31213,2807
412,11119,0.01799,31213,2807
413,11119,0.01799,31213,2807
414,11119,0.01799,31213,2807
415,11119,0.01799,31213,2807
416,11119,0.01799,31213,2807
417,11119,0.01799,31213,2807
418,11119,0.01799,31213,2807
419,11119,0.01799,31213,2807
420,11117,-0.01799,15307,1377
421,11117,-0.01799,15307,1377
422,11117,-0.01799,15307,1377
423,11117,-0.01799,15307,1377
424,11117,-0.01799,15307,1377
425,11117,-0.01799,15307,1377
426,11117,-0.01799,15307,1377
427,11117,-0.01799,15307,1377
428,11117,-0.01799,15307,1377
429,11117,-0.01799,15307,1377
430,11117,-0.01799,15307,1377
431,11117,-0.01799,15307,1377
432,11117,-0.01799,15307,1377
433,11117,-0.01799,15307,1377
434,11117,-0.01799,15307,1377
435,11117,-0.01799,15307,1377
436,11117,-0.01799,15307,1377
437,11117,-0.01799,15307,1377
438,11117,-0.01799,15307,1377
439,11117,-0.01799,15307,1377
440,11111,-0.05397,22757,2048
441,11111,-0.05397,22757,2048
442,11111,-0.05397,22757,2048
443,11111,-0.05397,22757,2048
444,11111,-0.05397,22757,2048
445,11111,-0.05397,22757,2048
446,11111,-0.05397,22757,2048
447,11111,-0.05397,22757,2048
448,11111,-0.05397,22757,2048
449,11111,-0.05397,22757,2048
450,11105,-0.054,81206,7312
451,11105,-0.054,81206,7312
452,11105,-0.054,81206,7312
453,11105,-0.054,81206,7312
454,11105,-0.054,81206,7312
455,11105,-0.054,81206,7312
456,11105,-0.054,81206,7312
457,11105,-0.054,81206,7312
458,11105,-0.054,81206,7312
459,11105,-0.054,81206,7312
460,11112,0.06303,31945,2875
461,11112,0.06303,31945,2875
462,11112,0.06303,31945,2875
463,11112,0.06303,31945,2875
464,11112,0.06303,31945,2875
465,11112,0.06303,31945,2875
466,11112,0.06303,31945,2875
467,11112,0.06303,31945,2875
468,11112,0.06303,31945,2875
469,11112,0.06303,31945,2875
470,11114,0.018,48504,4364
471,11114,0.018,48504,4364
472,11114,0.018,48504,4364
473,11114,0.018,48504,4364
474,11114,0.018,48504,4364
475,11114,0.018,48504,4364
476,11114,0.018,48504,4364
477,11114,0.018,48504,4364
478,11114,0.018,48504,4364
479,11114,0.018,48504,4364
480,11112,-0.018,30014,2701
481,11112,-0.018,30014,2701
482,11112,-0.018,30014,2701
483,11112,-0.018,30014,2701
484,11112,-0.018,30014,2701
485,11112,-0.018,30014,2701
486,11112,-0.018,30014,2701
487,11112,-0.018,30014,2701
488,11112,-0.018,30014,2701
489,11112,-0.018,30014,2701
490,11114,0.018,745,67
491,11114,0.018,745,67
492,11114,0.018,745,67
493,11114,0.018,745,67
494,11114,0.018,745,67
495,11114,0.018,745,67
496,11114,0.018,745,67
497,11114,0.018,745,67
498,11114,0.018,745,67
499,11114,0.018,745,67
500,11114,0,46983,4227
501,11114,0,46983,4227
502,11114,0,46983,4227
503,11114,0,46983,4227
504,11114,0,46983,4227
505,11114,0,46983,4227
506,11114,0,46983,4227
507,11114,0,46983,4227
508,11114,0,46983,4227
509,11114,0,46983,4227
510,11119,0.04499,7350,661
511,11119,0.04499,7350,661
512,11119,0.04499,7350,661
513,11119,0.04499,7350,661
514,11119,0.04499,7350,661
515,11119,0.04499,7350,661
516,11119,0.04499,7350,661
517,11119,0.04499,7350,661
518,11119,0.04499,7350,661
519,11119,0.04499,7350,661
520,11119,0.04499,7350,661
521,11119,0.04499,7350,661
522,11119,0.04499,7350,661
523,11119,0.04499,7350,661
524,11119,0.04499,7350,661
525,11119,0.04499,7350,661
526,11119,0.04499,7350,661
